fact,category,keywords
"Octopuses have three hearts. Two help move blood to the gills, and one helps the rest of the body.",animals,octopus ocean animal hearts
"Bananas are berries, but strawberries are not true berries.",food,banana berry strawberry fruit
"The Moon has moonquakes, a little like earthquakes on Earth.",space,moon moonquake astronomy space
"Honey can last for thousands of years when it is sealed well.",food,honey sweet bees ancient
"Sharks are older than dinosaurs.",animals,shark dinosaur ocean ancient
"A day on Venus is longer than a year on Venus.",space,venus planet day year
"Your heart beats about 100000 times in one day.",body,heart body pulse blood
"Some turtles can breathe through their bottoms while underwater.",animals,turtle reptile water
"Water can be a solid, liquid, or gas.",science,water states matter ice steam
"The blue whale is the largest animal known to have lived on Earth.",ocean,blue whale ocean animal large
"Lightning is hotter than the surface of the Sun.",science,lightning sun heat weather
"Dinosaurs lived on Earth for more than 160 million years.",dinosaurs,dinosaur prehistoric fossils
"The smell after rain is called petrichor.",nature,rain smell petrichor weather
"Sea otters hold hands while resting so they do not drift apart.",ocean,sea otter ocean animal hands
"Butterflies taste with their feet.",animals,butterfly insect feet taste
"Your nose can remember many different smells.",body,nose smell senses body
"Saturn could float in water if there were a bathtub big enough.",space,saturn planet float astronomy
"Carrots were not always orange. Long ago, many were purple or yellow.",food,carrot vegetable orange purple
"Plants can make their own food using sunlight.",nature,plant sunlight photosynthesis nature
"Sound travels faster in water than in air.",science,sound water air waves
"The first dinosaur fossils were found before people had the word dinosaur.",dinosaurs,dinosaur fossil history prehistoric
"Penguins can jump several feet out of the water.",animals,penguin bird ocean jump
"There are more stars in the universe than grains of sand on Earth.",space,stars universe sand galaxy
"Your bones are stronger than steel by weight.",body,bones skeleton body strong
"Pineapples are made from many tiny berries fused together.",food,pineapple berry fruit tropical
"Coral reefs are built by tiny animals called coral polyps.",ocean,coral reef ocean animal polyps
"Some bamboo can grow very fast, even more than 2 feet in one day.",nature,bamboo plant grow nature
"Magnets have invisible force fields around them.",science,magnet force field physics
"Stegosaurus had a brain about the size of a small plum.",dinosaurs,stegosaurus dinosaur brain
"Hummingbirds are the only birds that can fly backward.",animals,hummingbird bird fly backward
"Mars has the tallest volcano in the solar system.",space,mars volcano solar system olympus mons
"Your tongue print is unique, a bit like your fingerprint.",body,tongue fingerprint body unique
"Cucumbers are mostly water.",food,cucumber water vegetable food
"The ocean makes more than half of Earth's oxygen.",ocean,ocean oxygen earth plankton
"Mushrooms are more closely related to animals than plants.",nature,mushroom fungi plant animal
"Rubber bands last longer when kept cold.",science,rubber band cold material
